ID	PCR_type	guide	file
E2286_ID38_U2OS_LBR2_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID38_U2OS_LBR2_R1_T1.fastq.gz
E2286_ID38_U2OS_LBR2_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID38_U2OS_LBR2_R1_T2.fastq.gz
E2286_ID39_U2OS_ATMi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID39_U2OS_ATMi_R1_T1.fastq.gz
E2286_ID39_U2OS_ATMi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID39_U2OS_ATMi_R1_T2.fastq.gz
E2286_ID4_RPE1_DNAPKi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID4_RPE1_DNAPKi_R1_T1.fastq.gz
E2286_ID40_U2OS_DNAPKi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID40_U2OS_DNAPKi_R1_T1.fastq.gz
E2286_ID40_U2OS_DNAPKi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID40_U2OS_DNAPKi_R1_T2.fastq.gz
E2286_ID41_U2OS_tracr_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID41_U2OS_tracr_R2_T1.fastq.gz
E2286_ID41_U2OS_tracr_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID41_U2OS_tracr_R2_T2.fastq.gz
E2286_ID42_U2OS_LBR2_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID42_U2OS_LBR2_R2_T1.fastq.gz
