"sample" "driver_mut" "count"
"264" "d515c7d2-2314-46bf-9736-ff3f3d2ab599" "SETD2" 104
"265" "d5423a93-0a72-43cf-a7ae-9011f47553c7" "ATM" 149
"266" "d60f54f5-b154-42c4-99fb-cea4e7a33dc7" "EGFR" 458
"267" "d8c2b4b2-e12b-43d2-bafc-87b29f027797" "ATRX" 2325
"268" "d8d5585d-32cd-4ac4-b410-a4122a17a558" "ATM" 1005
"269" "d8d5585d-32cd-4ac4-b410-a4122a17a558" "BLM" 1005
"270" "d926a39f-d057-4e78-8907-b74f52157d99" "SETD2" 507
"271" "dacd4cc2-fc2b-4fbd-adf6-c8a46ae69c91" "SETD2" 786
"272" "dbbd54db-4470-4df6-b5be-3e175c7133b0" "BRCA2" 844
"273" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "ATM" 150
"274" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "ATRX" 150
"275" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "MEN1" 150
"276" "dd67dec6-35dd-4efe-b913-ed4884855365" "CTR" 255
"277" "de4d6f9f-d64a-41b9-a928-64e79b9f7d5f" "MEN1" 114
"278" "df2d41c4-7e79-4a46-aa4a-2a11c051ac40" "ATRX" 195
"279" "df2d41c4-7e79-4a46-aa4a-2a11c051ac40" "MEN1" 195
"280" "e053d377-e4f2-4aee-af7d-e61605e0f4f5" "SETD2" 779
"281" "e2b5c926-491d-430d-8d9c-5c73d7752d1b" "CTR" 1754
"282" "e2b5c926-491d-430d-8d9c-5c73d7752d1b" "EGFR" 2644
"283" "e3eb5217-50e4-49e2-a6fa-f847d091f3c9" "MEN1" 147
"284" "e41bc2ec-3e0b-4c37-806b-3f6f25c8c4db" "SETD2" 953
"285" "e4c8c7f0-5bac-4d59-91c4-c98207150548" "BRCA2" 1127
"286" "e541b5b9-546d-47bc-acd6-4006ce0eec1d" "MEN1" 260
"287" "e56b0990-ff67-47c1-b9ad-87ef1d4aa2ae" "SETD2" 846
"288" "e5c89fcf-cc57-4fad-a138-ea47ee9ea225" "SETD2" 671
"289" "e7603fc8-9b73-4c17-86f9-46ca1bceeb1d" "SETD2" 674
"290" "e7a0889c-dd8c-4230-9c63-384f1f6ee577" "EGFR" 1782
"291" "e91ab7da-79a6-4ea0-bc24-7aacb39f7614" "ATM" 1896
"292" "e9d98643-01ee-40c3-a617-e004559625cd" "CHEK2" 402
"293" "ea351a5c-2982-4499-b631-c003deff7d33" "ATM" 12
"294" "eab71331-53d3-4cf5-96c9-5121a3962c27" "EGFR" 427
"295" "eb1531b0-8af1-4b2b-9192-644cb47101fc" "EGFR" 3949
"296" "eb18e71d-2a27-4eae-aa27-4b2c0716d2ba" "ATM" 44
"297" "eba6d269-27f8-4e50-b59a-5d639bdd5cff" "ATM" 103
"298" "ece0f3a4-a204-4c52-bb1f-88d44a875b2e" "EGFR" 537
"299" "ee5d5e7d-78cf-4a29-a9ee-56aa3da877dd" "ATM" 429
"300" "efbec43c-0c16-4006-abe8-c3ec2ec42c05" "BRCA2" 553
"301" "f0a33adc-ea90-46ef-a24a-a8d7e4e15db3" "EGFR" 2243
"302" "f37de4fa-52f6-4fe4-a3fa-41803032c93f" "ATR" 4563
"303" "f393bafd-1baa-e5f4-e040-11ac0d48450b" "BRCA2" 689
"304" "f393bafe-7503-5c45-e040-11ac0d484511" "BRCA2" 1009
"305" "f393bb07-270c-2c93-e040-11ac0d484533" "BRCA2" 682
"306" "f393bb08-4121-cad8-e040-11ac0d484535" "BRCA2" 1070
"307" "f3c1a125-06e9-41c4-9558-275a3e346cc5" "SETD2" 703
"308" "f4ada7a2-c4ac-4f89-ada7-4645861002cb" "BRCA2" 993
"309" "f4baf913-c4ac-46f3-83b6-306b9182207d" "SETD2" 575
"310" "f7187888-f261-4a39-99b4-966fd7207117" "ATM" 13789
"311" "f7d7b3db-02af-61cb-e040-11ac0c480c03" "TRRAP" 163
"312" "f7e4a2a8-093d-9e36-e040-11ac0d480c7d" "BRCA2" 460
"313" "f82d2146-726a-d0e0-e040-11ac0c486888" "ATRX" 86
"314" "f86e2d80-911b-7a19-e040-11ac0d486900" "SMC5" 359
"315" "f87d7c27-eeef-920e-e040-11ac0d48388d" "ATRX" 278
"316" "f89ef95e-6e39-420b-a3c2-ccebcc69ce3b" "ATRX" 197
"317" "f8a165b0-51df-413c-b7c6-c7fc80547db4" "SETD2" 1099
"318" "f92a34fa-014e-4b41-a6d0-3b46b8c8a3ee" "ATRX" 123
"319" "f98de26b-c7d6-435d-81fa-1f1869da9087" "EGFR" 2042
"320" "f9c0a12c-2651-d9ea-e040-11ac0d483201" "ATM" 270
"321" "fb194ca3-10aa-4dc5-8d08-619ddbd6d1b6" "MEN1" 389
"322" "fc447d51-cdc2-a180-e040-11ac0c4846a4" "BLM" 450
"323" "fc8130df-2211-cfcc-e040-11ac0d485dde" "BRCA2" 533
"324" "fc8130df-30a5-3e6a-e040-11ac0d485de2" "BRCA2" 620
"325" "fc8130df-35ac-2304-e040-11ac0d485dda" "ATR" 586
"326" "fc8130df-6860-7677-e040-11ac0d485ddc" "BRCA2" 786
"327" "fc8130df-90ba-5d94-e040-11ac0d485e0c" "BRCA2" 773
"328" "fc8130e0-a38a-23b9-e040-11ac0c48327f" "BRCA2" 663
"329" "fc8130e0-a38a-23b9-e040-11ac0c48327f" "EGFR" 774
"330" "fc8130e0-aed2-bb2f-e040-11ac0d485e12" "ATM" 193
"331" "fc8130e3-01ba-c740-e040-11ac0c483291" "BRCA2" 980
"332" "fc95d5ce-6899-62f1-e040-11ac0c486011" "SETD2" 510
"333" "fca08ee9-b480-4dc7-be56-f1eb03b56f7c" "EGFR" 437
"334" "fce8d8c6-f2a0-43a8-9a7a-b9c519a6686c" "ATR" 3047
"335" "fe63d42b-d471-45b6-9bdf-1a3b55465d37" "MEN1" 118
"336" "fea5827b-251d-474b-8713-fc76db995fe7" "SETD2" 952
"337" "ffad9288-c622-11e3-bf01-24c6515278c0" "ATRX" 543
"338" "ffdd4feb-aca3-4104-b1e8-954d705a6450" "ATM" 618
