"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"110" "ATRX" "PAEN-AU" "a4beedc3-0e96-4e1c-90b4-3674dfc01786" "cNHEJ" 11
"111" "ATRX" "PAEN-AU" "a4beedc3-0e96-4e1c-90b4-3674dfc01786" "MMEJ" 18
"112" "ATRX" "PAEN-AU" "d515c7d2-2314-46bf-9736-ff3f3d2ab599" "MMEJ" 7
"113" "ATRX" "PAEN-AU" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "cNHEJ" 5
"114" "ATRX" "PAEN-AU" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "MMEJ" 14
"115" "ATRX" "PAEN-AU" "df2d41c4-7e79-4a46-aa4a-2a11c051ac40" "cNHEJ" 4
"116" "ATRX" "PAEN-AU" "df2d41c4-7e79-4a46-aa4a-2a11c051ac40" "MMEJ" 8
"117" "ATRX" "PAEN-AU" "f89ef95e-6e39-420b-a3c2-ccebcc69ce3b" "cNHEJ" 5
"118" "ATRX" "PAEN-AU" "f89ef95e-6e39-420b-a3c2-ccebcc69ce3b" "MMEJ" 16
"119" "ATRX" "SARC-US" "35c797fd-ca81-4cef-b6c4-7e3776f661b3" "cNHEJ" 5
"120" "ATRX" "SARC-US" "35c797fd-ca81-4cef-b6c4-7e3776f661b3" "MMEJ" 16
"121" "ATRX" "SARC-US" "3c963890-6e79-4b16-a4aa-bac04938b4d7" "cNHEJ" 6
"122" "ATRX" "SARC-US" "3c963890-6e79-4b16-a4aa-bac04938b4d7" "MMEJ" 15
"123" "ATRX" "SARC-US" "4c59fb2d-21b6-4b09-8174-6102de736e4d" "cNHEJ" 16
"124" "ATRX" "SARC-US" "4c59fb2d-21b6-4b09-8174-6102de736e4d" "MMEJ" 28
"125" "BRCA2" NA "07b5141f-ac79-439b-883b-b0183bbe7ff5" "cNHEJ" 56
"126" "BRCA2" NA "07b5141f-ac79-439b-883b-b0183bbe7ff5" "MMEJ" 366
"127" "BRCA2" NA "0bfd1043-8183-e3e4-e050-11ac0c4860c5" "cNHEJ" 164
"128" "BRCA2" NA "0bfd1043-8183-e3e4-e050-11ac0c4860c5" "MMEJ" 1035
"129" "BRCA2" NA "1168944c-5451-4a18-8758-88bf5723bdd9" "cNHEJ" 43
"130" "BRCA2" NA "1168944c-5451-4a18-8758-88bf5723bdd9" "MMEJ" 437
"131" "BRCA2" NA "1db83e80-bdf7-4d8d-8008-bd8406d641fc" "cNHEJ" 8
"132" "BRCA2" NA "1db83e80-bdf7-4d8d-8008-bd8406d641fc" "MMEJ" 12
"133" "BRCA2" NA "1e181878-c640-4e91-a620-3fc4b08a4de1" "cNHEJ" 41
"134" "BRCA2" NA "1e181878-c640-4e91-a620-3fc4b08a4de1" "MMEJ" 294
